'2017-09-06 04:39:30'
'2017-09-06 04:39:40'
'2017-09-06 04:39:38'
'2017-09-06 04:39:33'
'2017-09-06 04:39:41'
'2017-09-06 04:39:27'
'2017-09-06 04:39:39'
'2017-09-06 04:39:33'
'2017-09-06 04:39:48'
'2017-09-06 04:39:31'
'2017-09-06 04:39:38'
'2017-09-06 04:39:48'
'2017-09-06 04:39:34'
'2017-09-06 04:39:33'
'2017-09-06 04:39:34'
'2017-09-06 04:39:24'
'2017-09-06 04:39:28'
'2017-09-06 04:39:35'
'2017-09-06 04:39:26'
'2017-09-06 04:39:39'
'2017-09-06 04:39:23'
'2017-09-06 04:39:36'
'2017-09-06 04:39:43'
'2017-09-06 04:39:44'
'2017-09-06 04:39:44'
'2017-09-06 04:39:36'
'2017-09-06 04:39:34'
'2017-09-06 04:39:36'
'2017-09-06 04:39:25'
'2017-09-06 04:39:29'
'2017-09-06 04:39:45'
'2017-09-06 04:39:40'
'2017-09-06 04:39:36'
'2017-09-06 04:39:32'
'2017-09-06 04:39:24'
'2017-09-06 04:39:45'
'2017-09-06 04:39:26'
'2017-09-06 04:39:37'
'2017-09-06 04:39:30'
'2017-09-06 04:39:26'
'2017-09-06 04:39:28'
'2017-09-06 04:39:29'
'2017-09-06 04:39:26'
'2017-09-06 04:39:23'
'2017-09-06 04:39:49'
'2017-09-06 04:39:45'
'2017-09-06 04:39:36'
'2017-09-06 04:39:24'
'2017-09-06 04:39:26'
'2017-09-06 04:39:47'
'2017-09-06 04:39:45'
'2017-09-06 04:39:28'
'2017-09-06 04:39:33'
'2017-09-06 04:39:42'
'2017-09-06 04:39:29'
'2017-09-06 04:39:43'
'2017-09-06 04:39:44'
'2017-09-06 04:39:26'
'2017-09-06 04:39:26'
'2017-09-06 04:39:45'
'2017-09-06 04:39:23'
'2017-09-06 04:39:30'
'2017-09-06 04:39:26'
'2017-09-06 04:39:28'
'2017-09-06 04:39:51'
'2017-09-06 04:39:58'
'2017-09-06 04:40:09'
'2017-09-06 04:39:54'
'2017-09-06 04:39:50'
'2017-09-06 04:39:54'
'2017-09-06 04:40:04'
'2017-09-06 04:39:58'
'2017-09-06 04:40:00'
'2017-09-06 04:40:08'
'2017-09-06 04:39:59'
'2017-09-06 04:39:58'
'2017-09-06 04:39:54'
'2017-09-06 04:39:57'
'2017-09-06 04:40:00'
'2017-09-06 04:39:55'
'2017-09-06 04:39:56'
'2017-09-06 04:40:03'
'2017-09-06 04:40:08'
'2017-09-06 04:40:02'
'2017-09-06 04:40:07'
'2017-09-06 04:39:54'
'2017-09-06 04:40:04'
'2017-09-06 04:39:50'
'2017-09-06 04:40:06'
'2017-09-06 04:40:03'
'2017-09-06 04:39:52'
'2017-09-06 04:40:06'
'2017-09-06 04:39:50'
'2017-09-06 04:40:08'
'2017-09-06 04:39:56'
'2017-09-06 04:39:52'
'2017-09-06 04:39:50'
'2017-09-06 04:40:02'
'2017-09-06 04:40:00'
'2017-09-06 04:39:49'
'2017-09-06 04:39:57'
'2017-09-06 04:39:58'
'2017-09-06 04:39:59'
'2017-09-06 04:39:50'
'2017-09-06 04:39:54'
'2017-09-06 04:40:08'
'2017-09-06 04:39:59'
'2017-09-06 04:39:56'
'2017-09-06 04:39:52'
'2017-09-06 04:40:10'
'2017-09-06 04:40:03'
'2017-09-06 04:39:52'
'2017-09-06 04:39:52'
'2017-09-06 04:40:06'
'2017-09-06 04:39:50'
'2017-09-06 04:39:55'
'2017-09-06 04:39:56'
'2017-09-06 04:39:56'
'2017-09-06 04:39:58'
'2017-09-06 04:40:10'
'2017-09-06 04:39:56'
'2017-09-06 04:40:04'
'2017-09-06 04:40:01'
'2017-09-06 04:39:49'
'2017-09-06 04:40:10'
'2017-09-06 04:40:02'
'2017-09-06 04:39:55'
'2017-09-06 04:39:51'
'2017-09-06 04:39:55'
'2017-09-06 04:40:02'
'2017-09-06 04:40:09'
'2017-09-06 04:40:09'
'2017-09-06 04:40:02'
'2017-09-06 04:39:55'
'2017-09-06 04:40:05'
'2017-09-06 04:40:08'
'2017-09-06 04:39:54'
'2017-09-06 04:39:51'
'2017-09-06 04:39:58'
'2017-09-06 04:39:53'
'2017-09-06 04:39:50'
'2017-09-06 04:39:50'
'2017-09-06 04:40:06'
'2017-09-06 04:40:10'
'2017-09-06 04:40:03'
'2017-09-06 04:40:08'
'2017-09-06 04:39:57'
'2017-09-06 04:40:20'
'2017-09-06 04:40:15'
'2017-09-06 04:40:21'
'2017-09-06 04:40:19'
'2017-09-06 04:40:14'
'2017-09-06 04:40:19'
'2017-09-06 04:40:11'
'2017-09-06 04:40:21'
'2017-09-06 04:40:20'
'2017-09-06 04:40:25'
'2017-09-06 04:40:29'
'2017-09-06 04:40:29'
'2017-09-06 04:40:18'
'2017-09-06 04:40:16'
'2017-09-06 04:40:28'
'2017-09-06 04:40:20'
'2017-09-06 04:40:14'
'2017-09-06 04:40:21'
'2017-09-06 04:40:12'
'2017-09-06 04:40:12'
'2017-09-06 04:40:21'
'2017-09-06 04:40:22'
'2017-09-06 04:40:16'
'2017-09-06 04:40:20'
'2017-09-06 04:40:19'
'2017-09-06 04:40:24'
'2017-09-06 04:40:27'
'2017-09-06 04:40:22'
'2017-09-06 04:40:20'
'2017-09-06 04:40:16'
'2017-09-06 04:40:29'
'2017-09-06 04:40:17'
'2017-09-06 04:40:14'
'2017-09-06 04:40:28'
'2017-09-06 04:40:28'
'2017-09-06 04:40:19'
'2017-09-06 04:40:22'
'2017-09-06 04:40:15'
'2017-09-06 04:40:26'
'2017-09-06 04:40:14'
'2017-09-06 04:40:23'
'2017-09-06 04:40:16'
'2017-09-06 04:40:11'
'2017-09-06 04:40:26'
'2017-09-06 04:40:27'
'2017-09-06 04:40:17'
'2017-09-06 04:40:13'
'2017-09-06 04:40:16'
'2017-09-06 04:40:20'
'2017-09-06 04:40:12'
'2017-09-06 04:40:23'
'2017-09-06 04:40:14'
'2017-09-06 04:40:22'
'2017-09-06 04:40:25'
'2017-09-06 04:40:17'
'2017-09-06 04:40:16'
'2017-09-06 04:40:25'
'2017-09-06 04:40:27'
'2017-09-06 04:40:24'
'2017-09-06 04:40:29'
'2017-09-06 04:40:15'
'2017-09-06 04:40:15'
'2017-09-06 04:40:15'
'2017-09-06 04:40:15'
'2017-09-06 04:40:22'
'2017-09-06 04:40:23'
'2017-09-06 04:40:29'
'2017-09-06 04:40:15'
'2017-09-06 04:40:27'
'2017-09-06 04:40:27'
'2017-09-06 04:40:11'
'2017-09-06 04:40:16'
'2017-09-06 04:40:26'
'2017-09-06 04:40:25'
'2017-09-06 04:40:11'
'2017-09-06 04:40:17'
'2017-09-06 04:40:13'
'2017-09-06 04:40:27'
'2017-09-06 04:40:11'
'2017-09-06 04:40:21'
'2017-09-06 04:40:24'
'2017-09-06 04:40:22'
'2017-09-06 04:40:23'
'2017-09-06 04:40:26'
'2017-09-06 04:40:20'
'2017-09-06 04:40:11'
'2017-09-06 04:40:28'
'2017-09-06 04:40:14'
'2017-09-06 04:40:40'
'2017-09-06 04:40:42'
'2017-09-06 04:40:39'
'2017-09-06 04:40:44'
'2017-09-06 04:40:41'
'2017-09-06 04:40:31'
'2017-09-06 04:40:37'
'2017-09-06 04:40:46'
'2017-09-06 04:40:36'
'2017-09-06 04:40:32'
'2017-09-06 04:40:30'
'2017-09-06 04:40:33'
'2017-09-06 04:40:35'
'2017-09-06 04:40:40'
'2017-09-06 04:40:47'
'2017-09-06 04:40:30'
'2017-09-06 04:40:32'
'2017-09-06 04:40:40'
'2017-09-06 04:40:32'
'2017-09-06 04:40:33'
'2017-09-06 04:40:39'
'2017-09-06 04:40:39'
'2017-09-06 04:40:32'
'2017-09-06 04:40:40'
'2017-09-06 04:40:36'
'2017-09-06 04:40:30'
'2017-09-06 04:40:39'
'2017-09-06 04:40:39'
'2017-09-06 04:40:36'
'2017-09-06 04:40:40'
'2017-09-06 04:40:44'
'2017-09-06 04:40:43'
'2017-09-06 04:40:31'
'2017-09-06 04:40:45'
'2017-09-06 04:40:33'
'2017-09-06 04:40:42'
'2017-09-06 04:40:45'
'2017-09-06 04:40:33'
'2017-09-06 04:40:38'
'2017-09-06 04:40:38'
'2017-09-06 04:40:31'
'2017-09-06 04:40:31'
'2017-09-06 04:40:38'
'2017-09-06 04:40:40'
'2017-09-06 04:40:44'
'2017-09-06 04:40:41'
'2017-09-06 04:40:30'
'2017-09-06 04:40:30'
'2017-09-06 04:40:39'
'2017-09-06 04:40:45'
'2017-09-06 04:40:47'
'2017-09-06 04:40:35'
'2017-09-06 04:40:31'
'2017-09-06 04:40:43'
'2017-09-06 04:40:40'
'2017-09-06 04:40:30'
'2017-09-06 04:40:43'
'2017-09-06 04:40:30'
'2017-09-06 04:40:35'
'2017-09-06 04:40:41'
'2017-09-06 04:40:46'
'2017-09-06 04:40:33'
'2017-09-06 04:40:47'
'2017-09-06 04:40:45'
'2017-09-06 04:40:41'
'2017-09-06 04:40:33'
'2017-09-06 04:40:33'
'2017-09-06 04:40:47'
